Company Name:,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,product,region,region,region,region,region,region,region,region,region,region,region,region,region,region,region,region,region,region,region,region
"Airgas USA, LLC",,,,,,,,,,,,,,,,,,,,,,,Helium,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,Africa,,Asia,,Canada,Eastern Europe/CIS,Europe,Mexico/South & Central America,Middle East,North America excluding Mexico,Oceana/South Pacific
A-ROO Company LLC,,,,,,,,,,Floral Display Equipment,Floral Accessory Items,,,Floral Hardgoods,,Floral Sleeves,,,,,,,,,,,Floral Packaging Materials,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,Australia/New Zealand,Canada,,Europe,Mexico/South & Central America,,,Oceana/South Pacific
Continental Floral Greens,,,Bouquets ? Greens,Bouquets ? Pre-made,,Christmas Trees/Wreaths,Consumer Floral Bunches,,,,,,,,,,,,,,,,,,Organic ? Floral,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,Asia,,Canada,,Europe,Mexico/South & Central America,Middle East,,
Dekker Chrysanten BV,,,,,,,,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,,,,Asia,,,,Europe,Mexico/South & Central America,,,
Dutchman Tree Farms,,,Bouquets ? Greens,,,Christmas Trees/Wreaths,,,,,,,,,,,,,,,,,,Nursery Stock/Shrubs/Trees,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
Floral Chain International,,,Bouquets ? Greens,Bouquets ? Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,,North West Central,North East Central,Pacific,Mountain,,,Asia,Australia/New Zealand,Canada,,Europe,,,North America excluding Mexico,
Floralife: a division of Smithers-Oasis Company,,,,,,,,,,,Floral Accessory Items,,,Floral Hardgoods,,,,Flower Food,,,,,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,,Pacific,Mountain,Africa,,Asia,Australia/New Zealand,Canada,Eastern Europe/CIS,Europe,Mexico/South & Central America,Middle East,North America excluding Mexico,Oceana/South Pacific
Galleria Farms,,,Bouquets ? Greens,Bouquets ? Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,Europe,,,,
HortyGirl Living Decor,,,,,,,,Dish Gardens/Planters,,,,,,,,,,,Flowering Plants,Foliage Plants,,,,,,,,,,,West South Central,,,North West Central,,Pacific,Mountain,,,,,Canada,,,,,North America excluding Mexico,
Intergreen USA Inc.,,,Bouquets ? Greens,Bouquets ? Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,Floral Services,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,Africa,,Asia,,Canada,Eastern Europe/CIS,Europe,Mexico/South & Central America,Middle East,North America excluding Mexico,Oceana/South Pacific
P.N.P. Plast Italy S.R.L,,,,,,,,,,,,,,,,Floral Sleeves,,,,,,,,,,,Floral Packaging Materials,Ribbon,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,Eastern Europe/CIS,Europe,,,,
Valley Springs LLC,,,,,,,,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,Asia,,Canada,,Europe,,,,
