Company Name:,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region
Airgas Inc.,,,,,,,,,,,,,,,,,,,,,,,Helium,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,,,,,
A-ROO Company,,,,,,,,,,Floral Display Equipment,Floral Accessory Items,,,Floral Hardgoods,,Floral Sleeves,,,,,,,,,,,Floral Packaging Materials,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,Australia/New Zealand,Canada,,Europe,Mexico/South & Central America,,,Oceana/South Pacific
Back to the Roots,,,,,,,,Dish Gardens/Planters,,,,,,,,,,,Flowering Plants,Foliage Plants,,,,,Organic ? Floral,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
Boquet Collection/Queen's Flowers,,,,Bouquets ? Pre-made,,,Consumer Floral Bunches,,,,,Floral Arrangements,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,Eastern Europe/CIS,Europe,,,,Oceana/South Pacific
burton + BURTON,Balloons,,,,,,,,,Floral Display Equipment,Floral Accessory Items,,Floral Equipment,Floral Hardgoods,,Floral Sleeves,,,,,,,,,,,,Ribbon,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,Africa,Antarctica,Asia,Australia/New Zealand,Canada,Eastern Europe/CIS,Europe,Mexico/South & Central America,Middle East,North America excluding Mexico,Oceana/South Pacific
Chrysal USA,,,,,,,,,,,,,Floral Equipment,,Floral Services,,,Flower Food,,,,,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,Africa,,Asia,Australia/New Zealand,Canada,Eastern Europe/CIS,Europe,Mexico/South & Central America,Middle East,North America excluding Mexico,Oceana/South Pacific
Continental Floral Greens,,,Bouquets ? Greens,Bouquets ? Pre-made,,Christmas Trees/Wreaths,Consumer Floral Bunches,,,,,,,,,,,,,,,,,,Organic ? Floral,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,Asia,,Canada,,Europe,Mexico/South & Central America,Middle East,North America excluding Mexico,
Continental Flowers,,,Bouquets ? Greens,Bouquets ? Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,Eastern Europe/CIS,Europe,,,,
Danziger,,,,,,,,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,,North East Central,Pacific,,,,,,,,,,,,
"Delta Floral Distributors, Inc.",,,Bouquets ? Greens,Bouquets ? Pre-made,,,,,Floral Display Boxes,,Floral Accessory Items,Floral Arrangements,,Floral Hardgoods,,,,,,,,Fresh-cut Flowers,,,,,,,,,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
Dependable Packaging Solutions,,,,,,,,,Floral Display Boxes,Floral Display Equipment,Floral Accessory Items,,Floral Equipment,Floral Hardgoods,,Floral Sleeves,,Flower Food,,,,,,,,,Floral Packaging Materials,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,,,,,
Falcon Farms,,,,Bouquets ? Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,Floral Arrangements,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
"Fantasy Farms, LLC",,,Bouquets ? Greens,Bouquets ? Pre-made,Bulk Flowers,,Consumer Floral Bunches,,Floral Display Boxes,,,,,,Floral Services,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,North America excluding Mexico,
FARM FRESH FLOWERS,,,,Bouquets ? Pre-made,,,Consumer Floral Bunches,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,Europe,,,,
Hollandia Greenhouses,,,,,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,,,West South Central,East South Central,,North West Central,,Pacific,Mountain,,,,,,,,,,North America excluding Mexico,
HortyGirl Living Decor,,,,,,,,Dish Gardens/Planters,Floral Display Boxes,,,,,,,,,,Flowering Plants,Foliage Plants,,,,,,,,,,,West South Central,,,,,Pacific,Mountain,,,,,,,,,,North America excluding Mexico,
Micky's Minis & N.G. Heimos Greenhouses,,,,,,,,Dish Gardens/Planters,,,,,,,,,,,Flowering Plants,Foliage Plants,,,,,,,,,Mid Atlantic,New England,West South Central,East South Central,,North West Central,North East Central,,,,,,,,,,,,,
